annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,boules,numero_chance,combinaison_gagnante_en_ordre_croissant,nombre_de_gagnant_au_rang1,rapport_du_rang1,nombre_de_gagnant_au_rang2,rapport_du_rang2,nombre_de_gagnant_au_rang3,rapport_du_rang3,nombre_de_gagnant_au_rang4,rapport_du_rang4,nombre_de_gagnant_au_rang5,rapport_du_rang5,nombre_de_gagnant_au_rang6,rapport_du_rang6,numero_jokerplus,devise
2017020,MERCREDI,2017-02-15,2017-04-17,8,16,21,14,24,"8,16,21,14,24",10,8-14-16-21-24+10,2,5500000,7,38142.3,880,652.9,32141,7.7,395817,4.4,412139,2,5 343 229,eur
2017025,LUNDI,2017-02-27,2017-04-29,3,37,16,17,47,"3,37,16,17,47",5,3-16-17-37-47+5,0,0,0,0,287,2032.7,16660,10.3,226417,5.4,396176,2,0 752 245,eur
2014148,MERCREDI,2014-12-10,2015-02-09,27,11,16,3,8,"27,11,16,3,8",6,3-8-11-16-27+6,1,9000000,5,49485.2,1326,401.5,38973,5.9,416689,3.9,481928,2,1 556 442,eur
2014136,MERCREDI,2014-11-12,2015-01-12,27,13,19,40,23,"27,13,19,40,23",5,13-19-23-27-40+5,0,0,5,42803.2,693,664.6,26506,7.5,327898,4.3,465888,2,8 323 453,eur
2015012,MERCREDI,2015-01-28,2015-03-30,41,12,33,9,16,"41,12,33,9,16",1,9-12-16-33-41+1,0,0,1,228306.4,454,1082.2,21644,9.8,314986,4.8,334571,2,7 342 353,eur
2014147,LUNDI,2014-12-08,2015-02-07,10,14,43,32,47,"10,14,43,32,47",10,10-14-32-43-47+10,0,0,1,189007.3,266,1529.2,13389,13.1,210600,5.9,260800,2,2 082 219,eur
2014149,SAMEDI,2014-12-13,2015-02-12,43,13,10,20,38,"43,13,10,20,38",1,10-13-20-38-43+1,0,0,6,52146.5,670,1005,29224,9.9,421347,4.9,456804,2,7 577 562,eur
2014144,LUNDI,2014-12-01,2015-01-31,43,49,40,48,44,"43,49,40,48,44",8,40-43-44-48-49+8,0,0,2,85045.8,407,899.4,10824,14.6,158354,7.1,306831,2,7 341 331,eur
2014132,LUNDI,2014-11-03,2015-01-03,34,45,18,44,24,"34,45,18,44,24",8,18-24-34-44-45+8,0,0,2,83727.3,245,1470.9,13022,11.9,187229,5.9,305606,2,4 353 796,eur
2014153,LUNDI,2014-12-22,2015-02-21,34,35,23,16,6,"34,35,23,16,6",8,6-16-23-34-35+8,0,0,0,0,275,2175.2,13871,12.7,220979,5.7,344652,2,2 639 018,eur
